Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Industry,FF,Ticker,
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,,,,
MPLX LP FLTG RT 09-09-2022 REG,1.22,9/9/2022,"901,000.00","901,000.00","901,574.83",Oil&Gas Equipment,1,MPLX,
NATWEST MKTS PLC 2.375% DUE 05,2.38,5/21/2023,"704,000.00","701,754.24","728,508.39",Bank,0,RBSPF,
NATWEST MKTS PLC US MEDIUM TER,3.63,9/29/2022,"770,000.00","787,306.30","800,817.97",Bank,0,RBSPF,
NUTRIEN LTD 1.9% DUE 05-13-202,1.90,5/13/2023,"1,359,000.00","1,357,776.90","1,392,115.80",Fertilizer,0,TSX: NTR,sus -_-
PEPSICO INC 0.4% DUE 10-07-202,0.40,10/7/2023,"502,000.00","501,713.86","502,489.62",Food and snack,0,Nasdaq: PEP,
PPL CAPITAL FUNDING INC 3.5% D,3.50,12/1/2022,"827,000.00","848,716.05","856,731.05",Utilities,1,PPL,
PVTPL DAIMLER FIN NORTH AMER L,2.20,10/30/2021,"1,475,000.00","1,460,123.00","1,484,402.89",financial services,0,DDAIF,
PVTPL DAIMLER FIN NORTH AMER L,1.75,3/10/2023,"823,000.00","821,469.22","839,947.32",financial services,0,DDAIF,
PVTPL DAIMLER FIN NORTH AMER L,2.55,8/15/2022,"1,802,000.00","1,803,871.26","1,844,217.18",financial services,0,DDAIF,
PVTPL DOMINION ENERGY INC 2.45,2.45,1/15/2023,"500,000.00","502,980.00","514,800.93",Energy,1,NYSE: D,
PVTPL HYUNDAI CAP AMER MEDIUM,2.38,2/10/2023,"600,000.00","599,742.00","615,870.03",financial services,0,HYEVF,
PVTPL LIBERTY MUT GROUP INC SR,4.95,5/1/2022,"1,527,000.00","1,615,790.70","1,582,185.69",insurance,0,LBH.JO,
PVTPL MACQUARIE GROUP LTD SR 4,4.15,3/27/2024,"597,000.00","641,048.20","631,886.58",bank,0,ASX: MQGI,
PVTPL MACQUARIE GROUP LTD SR M,3.19,11/28/2023,"780,000.00","804,094.20","807,853.41",bank,0,ASX: MQGI,
PVTPL MASSMUTUAL GLOBAL FDG II,0.85,6/9/2023,"1,600,000.00","1,599,056.00","1,616,375.06",insurance,0,MRCLX,
PVTPL METROPOLITAN LIFE GLOBAL,0.90,6/8/2023,"500,000.00","504,295.00","504,922.07",insurance,0,NYSE: MET,
PVTPL NEW YORK LIFE GLOBAL FDG,1.10,5/5/2023,"2,131,000.00","2,130,552.49","2,158,814.26",insurance,0,NYMTL,
PVTPL NXP B V / NXP FDG LLC SR,3.88,9/1/2022,"653,000.00","662,246.48","677,085.74",semiconductor equipment,0,NXPI,
PVTPL PACIFIC LIFE GLOBAL FDG,0.50,9/23/2023,"2,175,000.00","2,172,281.25","2,177,356.90",insurance,0,,
PVTPL PROTECTIVE LIFE GLOBAL F,3.10,4/15/2024,"1,529,000.00","1,654,428.79","1,621,258.03",financial services,0,PLPDZ,
PVTPL ROYALTY PHARMA PLC SR NT,0.75,9/2/2023,"668,000.00","663,470.96","669,961.70",pharmaceuticals,0,RPRX,
PVTPL SIEMENS FINANCIERINGSMAA,2.90,5/27/2022,"600,000.00","609,288.00","614,429.37",technology,0,FWB: SIE,
PVTPL SKANDINAVISKA ENSKILDA B,2.20,12/12/2022,"650,000.00","649,831.00","667,450.17",bank,0,SVKEF,
PVTPL TOYOTA INDS CORP FIXED 3,3.11,3/12/2022,"920,000.00","920,000.00","936,256.64",automotive,0,TYIDY,
PVTPL UPJOHN INC 1.125% DUE 06,1.13,6/22/2022,"846,000.00","845,636.22","852,032.82",pharmaceuticals,0,,
PVTPL VOLKSWAGEN GROUP AMER FI,2.70,9/26/2022,"1,110,000.00","1,113,432.30","1,140,771.66",automotive,0,VWAGY,
RYDER SYS INC MEDIUM TERM NTS,3.75,6/9/2023,"750,000.00","791,572.50","794,446.13",transportation,0,NYSE: R,
SHELL INTL FIN B V .375% DUE 0,0.38,9/15/2023,"1,007,000.00","1,004,542.92","1,006,272.50",Oil&Gas,1,NYSE: RDS.A,
SSM HLTH CARE CORP 3.688% DUE,3.69,6/1/2023,"2,153,000.00","2,219,594.02","2,258,771.29",Healthcare,0,,
TEXTRON INC 4.3% NT DUE 03-01-,4.30,3/1/2024,"549,000.00","599,529.96","593,476.12","aerospace, automotive, defense",0,NYSE: TXT,
TORONTO DOMINION BK SR MEDIUM,1.90,12/1/2022,"480,000.00","479,467.20","490,944.22",financial services,0,NYSE:TD,
TORONTO DOMINION BK SR MEDIUM,0.55,3/4/2024,"1,141,000.00","1,139,984.51","1,140,184.60",financial services,0,NYSE:TD,
TOYOTA MTR CR CORP MEDIUM TERM,0.35,10/14/2022,"837,000.00","836,255.07","838,172.56",automotive,0,NYSE: TM,
TRUIST BK GLOBAL BK MED TERM N,1.25,3/9/2023,"989,000.00","988,307.70","1,003,708.80",bank,0,NYSE: TFC,
U S BK NATL ASSN FIXED 2.65%,2.65,5/23/2022,"790,000.00","789,162.60","805,693.67",bank,0,NYSE: USB,
UBS AG LONDON BRH .45% 02-09-2,0.45,2/9/2024,"1,131,000.00","1,130,129.13","1,125,139.40",bank,0,NYSE: UBS,
UBS GROUP AG 1.008% DUE,1.01,7/30/2024,"920,000.00","920,000.00","926,625.60",bank,0,NYSE: UBS,
VENTAS RLTY LTD PARTNERSHIP /,3.25,8/15/2022,"789,000.00","794,018.04","807,343.90",real estate investment,0,NYSE: VTR,
VERIZON COMMUNICATIONS INC .75,0.75,3/22/2024,"650,000.00","649,961.00","652,793.52",telecommunications,0,NYSE: VZ,
VERIZON COMMUNICATIONS INC 3.5,3.50,11/1/2024,"1,049,000.00","1,157,718.36","1,134,886.54",telecommunications,0,NYSE: VZ,
VOLKSWAGEN GROUP AMER FIN LLC,4.00,11/12/2021,"1,233,000.00","1,228,289.94","1,250,171.81",automotive,0,VWAGY,
WELLS FARGO & CO MEDIUM TERM S,3.75,1/24/2024,"1,200,000.00","1,307,724.00","1,290,539.24",financial services,0,NYSE: WFC,
WELLS FARGO & CO MEDIUM TERM S,1.65,6/2/2024,"825,000.00","825,000.00","842,644.85",financial services,0,NYSE: WFC,
Municipal Bonds,,,,,,,,,
CALIFORNIA EARTHQUAKE AUTH REV,1.33,7/1/2022,"525,000.00","525,000.00","530,213.15",,,,
FLORIDA ST BRD ADMIN FIN CORP,2.64,7/1/2021,"540,000.00","545,238.00","540,000.00",,,,
MICHIGAN FIN AUTH REV TAXABLE-,2.86,9/1/2049,"965,000.00","965,000.00","981,589.70",,,,
NEW YORK ST URBAN DEV CORP REV,0.72,3/15/2023,"500,000.00","500,000.00","502,599.30",,,,
PORT AUTH N Y & N J 1.086% DUE,1.09,7/1/2023,"830,000.00","830,000.00","840,562.66",,,,
U.S. Agency Bonds,,,,,,,,,
FEDERAL HOME LN MTG CORP POOL,2.00,3/1/2046,"137,710.11","139,087.21","143,059.18",,,,
FEDERAL HOME LN MTG CORP POOL,2.30,7/1/2043,"323,867.93","341,275.83","341,527.27",,,,
FEDERAL HOME LN MTG CORP POOL,2.68,9/1/2047,"777,530.34","811,835.52","812,468.98",,,,
FEDERAL HOME LN MTG CORP POOL,2.13,2/1/2047,"1,024,880.31","1,076,764.87","1,065,342.45",,,,
FEDERAL HOME LN MTG CORP POOL,3.00,6/1/2033,"603,998.24","648,826.24","646,743.86",,,,
FEDERAL NATL MTG ASSN GTD MTG,2.04,3/1/2043,"223,623.95","229,004.91","234,696.84",,,,
FEDERAL NATL MTG ASSN GTD MTG,1.95,4/1/2044,"172,339.11","177,993.98","179,485.39",,,,
FNMA POOL #AL8319 ADJ RT DUE 1,2.17,10/1/2042,"62,419.19","64,564.85","65,680.83",,,,
FNMA POOL #AL8478 ADJ RT DUE 0,2.12,9/1/2044,"231,664.63","240,768.33","241,029.78",,,,
REST IS IN TABLE 39,,,,,,,,,
