Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Industry,FF,Ticker
SANTANDER RETAIL AUTO LEASE TR,0.51,7/22/2024,"605,000.00","604,905.44","605,166.07",,,
SANTANDER RETAIL AUTO LEASE TR,0.57,4/22/2024,"720,000.00","719,919.94","722,366.57",,,
SANTANDER RETAIL AUTO LEASE TR,1.86,2/21/2023,"595,000.00","594,862.44","601,129.15",,,
SANTANDER RETAIL AUTO LEASE TR,1.74,7/20/2023,"860,000.00","859,986.24","873,342.38",,,
SMALL BUSINESS ADMIN GTD DEV P,3.88,6/1/2030,"322,725.48","329,306.05","348,933.34",,,
TOYOTA AUTO LN EXTD NT TR 2020,1.35,5/25/2033,"400,000.00","399,976.92","406,645.48",,,
TOYOTA AUTO REC 2020-A OWNER T,1.66,5/15/2024,"760,000.00","759,945.13","769,948.63",,,
TOYOTA AUTO RECEIVABLES 2018-B,2.96,9/15/2022,"57,036.34","57,035.49","57,263.13",,,
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,,,
TOYOTA AUTO RECEIVABLES 2018-D,3.48,3/15/2023,"340,296.42","340,222.82","343,783.68",,,
TOYOTA AUTO RECEIVABLES 2020-C,0.36,2/15/2023,"331,936.35","331,925.00","332,129.27",,,
VERIZON COMMUNICATIONS INC SR,0.50,5/20/2027,"965,000.00","964,929.17","964,654.53",,,
VERIZON OWNER TR 2019-C NT CL,1.94,4/22/2024,"1,235,000.00","1,234,904.78","1,252,478.82",,,
VERIZON OWNER TR 2020-A NT CL,1.85,7/22/2024,"1,215,000.00","1,214,857.72","1,235,959.11",,,
VERIZON OWNER TR 2020-C SRS 20,0.41,12/20/2025,"725,000.00","724,882.33","726,180.81",,,
VERIZON OWNER TRUST FIXED 2.93,2.93,9/20/2023,"248,957.86","248,908.07","251,928.67",,,
VOLKSWAGEN AUTO LEASE TR 2020-,0.39,1/22/2024,"730,000.00","729,862.40","731,028.94",,,
VOLKSWAGEN AUTO LN ENHANCED TR,3.02,11/21/2022,"84,683.24","84,671.02","85,200.43",,,
VOLKSWAGEN AUTO LN ENHANCED TR,0.93,12/20/2022,"218,764.91","218,758.48","219,027.19",,,
WORLD OMNI AUTO RECEIVABLES SE,2.87,7/17/2023,"124,128.82","124,116.85","125,070.04",,,
WORLD OMNI AUTO RECEIVABLES TR,2.50,4/17/2023,"158,621.33","158,581.28","159,533.69",,,
WORLD OMNI AUTO RECEIVABLES TR,1.95,2/15/2023,"110,155.71","110,127.31","110,523.09",,,
WORLD OMNI AUTO RECEIVABLES TR,3.13,11/15/2023,"342,331.90","342,299.93","346,091.18",,,
WORLD OMNI AUTO RECEIVABLES TR,1.10,4/15/2025,"1,160,000.00","1,159,742.60","1,170,060.22",,,
WORLD OMNI AUTO RECEIVABLES TR,0.48,11/17/2025,"710,000.00","709,817.18","711,901.87",,,
WORLD OMNI AUTOMOBILE LEASE SE,1.70,1/17/2023,"975,000.00","974,909.03","989,680.87",,,
WORLD OMNI AUTOMOBILE LEASE SE,0.45,2/15/2024,"410,000.00","409,966.05","411,078.75",,,
Commercial Mortgage Backed Securities,,,,,,,,
CMO COMM 2013-CCRE7 MTG TR MTG,2.74,3/10/2046,"308,075.60","321,216.95","313,372.25",,,
CMO WFRBS COML MTG TR 2013-C12,2.84,3/15/2048,"297,392.07","308,788.23","302,602.62",,,
COMM 2012-CCRE5 MTG TR MTG PAS,2.39,12/10/2045,"253,031.13","250,065.61","255,463.64",,,
GS MTG SECS TR 2013-GC10 COML,2.94,2/10/2046,"1,009,000.00","1,032,884.92","1,040,940.80",,,
PVTPL J P MORGAN CHASE COML MT,1.38,6/15/2045,"472,876.00","479,525.82","473,403.35",,,
WFRBS COML MTG TR 2012-C8 MTG,1.08,8/15/2045,"774,836.24","777,984.01","775,166.32",,,
WFRBS COML MTG TR 2013-C14 MTG,3.34,6/15/2046,"1,000,000.00","1,037,656.25","1,047,471.20",,,
Corporate Bonds,,,,,,,,
7-ELEVEN INC .625% DUE,0.63,2/10/2023,"60,000.00","59,950.20","60,035.72",	Retail (Convenience stores),0,NASDAQ:SEVN
7-ELEVEN INC .8% DUE,0.80,2/10/2024,"150,000.00","149,875.50","149,628.60",	Retail (Convenience stores),0,NASDAQ:SEVN
ABBVIE INC 2.3% DUE 11-21-2022,2.30,11/21/2022,"550,000.00","569,576.13","564,532.97",	Biopharmaceutical,0,NYSE: ABBV
ABBVIE INC 3.375% DUE,3.38,11/14/2021,"120,000.00","119,793.60","121,380.12",	Biopharmaceutical,0,NYSE: ABBV
AIG GLOBAL FDG SR SECD MEDIUM,2.70,12/15/2021,"200,000.00","193,788.00","202,272.18",	Bond credit ratings,0,NYSE: MCO
AIG GLOBAL FDG SR SECD MEDIUM,2.30,7/1/2022,"120,000.00","119,965.20","122,292.06",	Bond credit ratings,0,NYSE: MCO
AIG GLOBAL FDG SR SECD MEDIUM,0.90,9/22/2025,"150,000.00","149,875.50","148,074.97",	Bond credit ratings,0,NYSE: MCO
ALLIANT ENERGY FIN LLC 1.4% DU,1.40,3/15/2026,"380,000.00","379,285.60","374,299.10","electricity, natural gas",1,Nasdaq: LNT
AMEREN ILL CO 3.25% DUE,3.25,3/1/2025,"410,000.00","428,516.20","440,820.12",	Utilities,1,	NYSE: AEE
AMERICAN ELEC PWR CO INC 3.65%,3.65,12/1/2021,"100,000.00","99,938.00","101,431.77",	Electric utilities,1,       Nasdaq: AEP
AMERICAN EXPRESS CO 3.7% DUE 0,3.70,8/3/2023,"350,000.00","371,549.50","372,719.01",	Banking,0,	NYSE: AXP
AMERICAN EXPRESS CO FLTG 08-03,0.93,8/1/2023,"90,000.00","90,000.00","91,155.85",	Banking,0,	NYSE: AXP
AMERICAN HONDA FIN CORP MED TE,1.95,5/10/2023,"250,000.00","249,907.50","257,498.06",	Conglomerate,0,NYSE: HMC
AMERICAN HONDA FIN CORP MED TE,3.38,12/10/2021,"390,000.00","389,812.80","395,463.74",	Conglomerate,0,NYSE: HMC
AMPHENOL CORP NEW 2.05% DUE,2.05,3/1/2025,"195,000.00","194,666.55","202,781.38",	electronics,0,	NYSE: APH
ANHEUSER-BUSCH COS LLC CORP 3.,3.65,2/1/2026,"200,000.00","226,258.00","220,836.93",	Beverages,0,NYSE: ADR
ASTRAZENECA FIN LLC .7% 05-28-,0.70,5/28/2024,"210,000.00","209,981.10","209,592.02","	Pharmaceutical
Biotechnology",0,Nasdaq: AZN
AT&T INC 1.49838% DUE 06-12-20,1.30,6/12/2024,"260,000.00","261,900.80","266,752.20","	Telecommunications
Technology
Mass media
Entertainment",0,NYSE: T
AT&T INC 1.65% DUE 02-01-2028/,1.65,2/1/2028,"370,000.00","369,533.80","367,244.64","	Telecommunications
Technology
Mass media
Entertainment",0,NYSE: T
AT&T INC 2.3% DUE 06-01-2027,2.30,6/1/2027,"80,000.00","79,881.60","82,744.23","	Telecommunications
Technology
Mass media
Entertainment",0,NYSE: T
ATMOS ENERGY CORP SR NT .625%,0.63,3/9/2023,"225,000.00","224,991.00","225,069.17",	Energy,1,	NYSE: ATO
BAE SYS HLDGS INC 3.85% DUE,3.85,12/15/2025,"410,000.00","463,492.70","452,811.84","	Aerospace, Arms industry, Information security",0,	LSE: BA.
BANK AMER CORP .981% DUE,0.98,9/25/2025,"220,000.00","220,000.00","219,830.60",	Financial services,0,	NYSE: BAC
BANK AMER CORP 2.015% DUE,2.02,2/13/2026,"430,000.00","447,806.30","443,350.01",	Financial services,0,	NYSE: BAC
BANK NEW YORK MELLON CORP MEDI,2.66,5/16/2023,"80,000.00","80,651.20","81,626.20","        Banking
Financial services",0,NYSE: BK
BANK NOVA SCOTIA B C CORP 1.95,1.95,2/1/2023,"160,000.00","159,800.00","164,038.09","	Banking, Financial services",0,NYSE: BNS
BANK OF AMERICA CORP  3.004%,3.00,12/20/2023,"577,000.00","557,555.68","597,972.87",FInancial services,0,        NYSE: BAC
BANK OF AMERICA CORP MTN 0.81%,0.81,10/24/2024,"700,000.00","700,000.00","702,913.52",FInancial services,0,        NYSE: BAC
BANK OF MONTREAL TRANCHE # TR,2.05,11/1/2022,"50,000.00","49,941.50","51,161.26",FInancial services,0,NYSE: BMO
BANK OF NOVA SCOTIA,2.20,2/3/2025,"240,000.00","254,493.60","250,088.88",FInancial services,0,NYSE: BNS
BAPTIST HEALTH SOUTH FLA 4.59%,4.59,8/15/2021,"150,000.00","156,687.00","150,767.72",Healthcare,0,N/A
BB&T CORP MEDIUM TERM NTS 3.05,3.05,6/20/2022,"220,000.00","219,993.40","225,456.27",	Banking,0,NYSE: BBT
BB&T CORP SR MEDIUM TERM NTS B,2.20,3/16/2023,"275,000.00","274,796.50","283,091.99",	Banking,0,NYSE: BBT
BELL CANADA .75% DUE 03-17-202,0.75,3/17/2024,"265,000.00","264,875.45","265,598.09",Telecommunications,0,NYSE: BCE
BK MONTREAL 3.3%,3.30,2/5/2024,"100,000.00","108,261.00","107,084.96",	Financial services,0,NYSE: BMO
BLACK HILLS CORP 3.95% DUE,3.95,1/15/2026,"445,000.00","491,564.20","489,812.97",Energy,1,        NYSE: BKH
BOEING CO 2.7% DUE 05-01-2022,2.70,5/1/2022,"15,000.00","14,973.45","15,315.80","	Aerospace
Defense",0,NYSE: BA
BP CAP MKTS AMER INC 2.75% DUE,2.75,5/10/2023,"407,000.00","402,359.36","423,786.14",	Oil and gas,1,NYSE: BP
BRISTOL MYERS SQUIBB CO .537%,0.54,11/13/2023,"350,000.00","350,000.00","350,419.12",	Pharmaceuticals,0,	NYSE: BMY
BROWN FORMAN CORP 3.5%,3.50,4/15/2025,"400,000.00","445,824.00","436,306.46",	Alcoholic drink,0,	NYSE: BF.A
CANADIAN NAT RES LTD 3.8% DUE,3.80,4/15/2024,"230,000.00","244,701.60","247,346.67",	Petroleum industry,1,S&P/TSX 60 
CAPITAL ONE NATL ASSN MCLEAN V,0.98,8/8/2022,"400,000.00","400,000.00","402,907.98",Financial services,0,	NYSE: COF
CAPITAL ONE NATL ASSN MCLEAN V,2.25,9/13/2021,"300,000.00","295,554.87","300,691.21",Financial services,0,	NYSE: COF
CENTERPOINT ENERGY RES CORP DE,0.70,3/2/2023,"170,000.00","169,835.10","170,016.11",	Utilities,1,NYSE: CNP
CES MU2 LLC 1.994% DUE 05-13-2,1.99,5/13/2027,"447,579.29","466,006.13","462,741.75",Financial Services,0,N/A
CHEVRON CORP NEW 1.554% DUE,1.55,5/11/2025,"185,000.00","187,282.80","189,568.90",Energy: Oil and gas,1,NYSE: CVX
CHEVRON PHILLIPS 3.3% 05-01-20,3.30,5/1/2023,"210,000.00","223,320.30","220,499.61",Energy: Oil and gas,1,NYSE: CVX
CHUBB INA HOLDINGS INC 3.35% D,3.35,5/15/2024,"75,000.00","80,806.50","80,915.07",	Insurance and Reinsurance,0,	NYSE: CB
CINTAS CORP NO 2 2.9% DUE,2.90,4/1/2022,"410,000.00","408,242.70","417,315.79",Service,0,	Nasdaq: CTAS
CITIGROUP INC .776% DUE,0.78,10/30/2024,"170,000.00","170,000.00","170,424.11",	Financial services,0,NYSE: C
CITIGROUP INC NEW 2.312% DUE,2.31,11/4/2022,"260,000.00","260,000.00","261,631.88",	Financial services,0,NYSE: C
CITIGROUP INC NT FIXED / FLTG,0.98,5/1/2025,"220,000.00","220,000.00","220,523.57",	Financial services,0,NYSE: C
CITIGROUP INC SR NT 3.352%,3.35,4/24/2025,"400,000.00","426,884.00","426,221.11",	Financial services,0,NYSE: C
CITIZENS BK MEDIUM TERM NTS BO,3.25,2/14/2022,"260,000.00","259,763.40","264,174.20",	Banking,0,	NYSE: CFG
CLOROX CO 3.8% DUE 11-15-2021,3.80,11/15/2021,"220,000.00","223,731.20","222,773.56",Consumer household goodsfoodpet carecommercial cleaning,0,        NYSE: CLX
COMCAST CORP 3.7%,3.70,4/15/2024,"150,000.00","164,229.00","162,654.85","	Telecommunications
Mass media
Entertainment",0,Nasdaq: CMCSA
COMCAST CORP NEW 3.375% DUE,3.38,8/15/2025,"400,000.00","447,928.00","436,196.16","	Telecommunications
Mass media
Entertainment",0,Nasdaq: CMCSA
COMMONSPIRIT HEALTH 2.76% DUE,2.76,10/1/2024,"65,000.00","65,000.00","68,433.95",	Healthcare,0,N/A
CONNECTICUT LIGHT & POWER CO .,0.75,12/1/2025,"140,000.00","139,945.40","138,235.56",Energy,1,NYSE:  CNLPL
CVS HEALTH CORP 2.625% DUE,2.63,8/15/2024,"160,000.00","159,176.00","168,842.21","	Managed healthcare
Health insurance
Pharmacy",0,	NYSE: CVS
CVS HEALTH CORP 3.7% DUE,3.70,3/9/2023,"29,000.00","30,378.37","30,540.81","	Managed healthcare
Health insurance
Pharmacy",0,	NYSE: CVS
DEERE & CO 2.6% DUE,2.60,6/8/2022,"230,000.00","229,596.45","233,792.30","	Agricultural machinery
Heavy equipment",0,	NYSE: DE
DISNEY WALT CO 1.75% DUE,1.75,8/30/2024,"110,000.00","108,859.50","113,737.42","	Mass media
Entertainment",0,        NYSE: DIS
DOWDUPONT INC 1.50238% DUE 11-,1.27,11/15/2023,"200,000.00","200,000.00","203,648.29",	Chemicals,0,	NYSE: DD
DOWDUPONT INC 4.493% DUE,4.49,11/15/2025,"150,000.00","153,978.00","170,573.28",        Chemicals,0,        NYSE: DD
DTE ELEC CO 3.375% DUE,3.38,3/1/2025,"430,000.00","458,668.10","464,059.12",	Electric and gas utilities,1,	NYSE: DTE
DU PONT E I DE NEMOURS & CO 1.,1.70,7/15/2025,"140,000.00","142,038.00","143,574.28",       Chemicals,0,        NYSE: DD
DUKE ENERGY 3.05% 03-15-2023,3.05,3/15/2023,"95,000.00","96,398.40","99,169.42",	Energy,1,	NYSE: DUK
EATON CORP OHIO 2.75% DUE 11-0,2.75,11/2/2022,"760,000.00","761,124.80","784,605.20",	Conglomerate,0,	NYSE: ETN
EMD FIN LLC 2.95% DUE,2.95,3/19/2022,"210,000.00","214,149.60","213,063.05",financial Services,0,N/A
EMORY UNIV 1.566% DUE,1.57,9/1/2025,"115,000.00","115,000.00","117,626.62",Education,0,N/A
ENTERGY ARK INC 3.05% DUE,3.05,6/1/2023,"100,000.00","100,462.00","104,120.07",Energy industry,1,	NYSE: ETR
ENTERGY ARK INC 3.7% DUE,3.70,6/1/2024,"110,000.00","119,244.40","118,791.98",Energy industry,1,	NYSE: ETR
ENTERGY LOUISIANA LLC .62% DUE,0.62,11/17/2023,"220,000.00","219,960.40","220,331.62",Energy industry,1,	NYSE: ETR
ENTERPRISE PRODS OPER LLC 3.5%,3.50,2/1/2022,"220,000.00","220,627.00","224,212.28",	Oil and gas,1,	NYSE: EPD
EQUIFAX INC 3.6% DUE 08-15-202,3.60,8/15/2021,"240,000.00","239,136.00","240,954.13",	Credit risk assessment,0,	NYSE: EFX
EXXON MOBIL CORP 2.992% DUE,2.99,3/19/2025,"220,000.00","241,287.20","235,969.30",	Energy: Oil and gas,1,	NYSE: XOM
FEDERAL RLTY INVT TR 1.25% DUE,1.25,2/15/2026,"220,000.00","218,545.80","218,398.30",	Real estate investment trust,0,	NYSE: FRT
FIFTH THIRD BANCORP 1.625% DUE,1.63,5/5/2023,"30,000.00","29,980.80","30,597.67","	Banking
Financial services",0,Nasdaq: FITB
FISERV INC 2.75% DUE,2.75,7/1/2024,"370,000.00","369,378.40","390,344.17", financial technology ,0,	Nasdaq: FISV
GENERAL DYNAMICS CORP 3.25% DU,3.25,4/1/2025,"200,000.00","216,176.00","216,743.87","	Aerospace
Defense
Shipbuilding",0,NYSE: GD
GENERAL MLS INC 2.6% DUE,2.60,10/12/2022,"270,000.00","271,610.30","277,014.36",	Food processing,0,	NYSE: GIS
GENERAL MLS INC 3.7%,3.70,10/17/2023,"90,000.00","92,325.65","96,304.61",	Food processing,0,	NYSE: GIS
GENERAL MTRS FINL CO INC 3.55%,3.55,7/8/2022,"140,000.00","139,911.80","144,498.80",	Food processing,0,	NYSE: GIS
GENERAL MTRS FINL CO INC 4.2%,4.20,11/6/2021,"160,000.00","160,046.40","162,095.52",	Food processing,0,	NYSE: GIS
GEORGIA-PAC LLC 1.75% DUE,1.75,9/30/2025,"290,000.00","289,942.00","297,416.50",	Pulp and paper,0,N/A
GETTY PAUL J TR .391% DUE,0.39,1/1/2024,"365,000.00","365,000.00","363,631.25",	Oil and fuel,1,N/A
GILEAD SCIENCES INC .75% DUE,0.75,9/29/2023,"240,000.00","239,916.00","240,118.43","	Pharmaceutics
Biotechnology",0,Nasdaq: GILD
GLAXOSMITHKLINE CAP PLC .534%,0.53,10/1/2023,"260,000.00","260,000.00","260,937.72","	Pharmaceutical
Biotechnology
Consumer goods",0,NYSE: GSK
GLAXOSMITHKLINE CAP PLC 2.85%,2.85,5/8/2022,"160,000.00","157,672.00","163,589.24","	Pharmaceutical
Biotechnology
Consumer goods",0,NYSE: GSK
GOLDMAN SACHS GROUP INC .657%,0.66,9/10/2024,"290,000.00","290,000.00","289,521.50",        Financial services,0,	NYSE: GS
GOLDMAN SACHS GROUP INC 3.5% D,3.50,1/23/2025,"200,000.00","219,700.00","216,239.15",        Financial services,0,	NYSE: GS
GOLDMAN SACHS GROUP INC 3.625%,3.63,2/20/2024,"170,000.00","169,792.60","182,234.52",        Financial services,0,        NYSE: GS
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,,,
GOLDMAN SACHS GROUP INC SR NT,3.63,1/22/2023,"400,000.00","400,184.00","419,923.41",     Financial services,0,      NYSE: GS
HEALTH CARE SVC CORP 1.5% 06-0,1.50,6/1/2025,"220,000.00","219,483.00","223,336.72",	Managed health care,0, Nasdaq: HCSG
HEWLETT PACKARD ENTERPRISE CO,0.91,10/5/2021,"140,000.00","140,000.00","140,032.54",	Financial technology,0,	NYSE: HPE
HEWLETT PACKARD ENTERPRISE CO,2.25,4/1/2023,"145,000.00","144,969.55","149,299.18",	Financial technology,0,	NYSE: HPE
HEWLETT PACKARD ENTERPRISE CO,3.50,10/5/2021,"210,000.00","209,708.10","211,185.36",	Financial technology,0,	NYSE: HPE
HEWLETT PACKARD ENTERPRISE CO,4.65,10/1/2024,"200,000.00","223,514.00","222,355.75",	Financial technology,0,	NYSE: HPE
HONEYWELL INTL INC 1.35% DUE 0,1.35,6/1/2025,"80,000.00","79,992.00","81,475.03",	Conglomerate,0,	Nasdaq: HON
