Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Industry,FF,Ticker
CMO JPMBB COMM MTG SECS TST SE,3.80,8/15/2048,"415,000.00","422,408.40","452,484.13",,,
CMO MORGAN STANLEY BK AMER MER,2.11,11/15/1952,"11,688.27","11,688.06","11,695.90",,,
CMO MORGAN STANLEY CAP I TR 20,4.88,10/15/1951,"290,000.00","298,673.47","333,902.06",,,
CMO SER 12-C9 CL A3 2.87% DUE,2.87,11/15/2045,"541,102.82","519,162.80","553,103.78",,,
CMO UBS COML MTG TR 2017-C4 CO,2.13,10/15/1950,"17,334.78","17,334.44","17,347.14",,,
CMO WELLS FARGO COML MTG TR 20,3.16,8/15/1951,"180,496.77","180,492.43","184,260.42",,,
CMO WELLS FARGO COML MTG TR 20,4.15,8/15/1951,"250,000.00","281,875.00","286,770.45",,,
CMO WELLS FARGO COML MTG TR 20,4.30,1/15/1952,"850,000.00","977,068.36","987,357.96",,,
COMM SER  2014-CR21 CLS AM 2.1,3.99,12/10/2047,"285,000.00","288,039.26","307,855.75",,,
CSAIL SER 2015-C1  CL B 4.0437,4.04,4/15/1950,"530,000.00","533,951.76","553,751.84",,,
DEUTSCHE BANK COMMERCIAL MTG T,3.28,5/10/2049,"663,500.00","682,271.00","714,393.70",,,
GS MTG SECS SER 14-GC18 CL A4,4.07,1/10/2047,"565,000.00","604,142.57","604,747.86",,,
PVTPL CMO ANGEL OAK MTG TR SER,2.62,11/25/1959,"367,214.48","367,213.54","369,336.06",,,
PVTPL CMO GCAT 2019-NQM2 TR SE,2.86,9/25/1959,"523,092.63","523,088.50","524,874.18",,,
PVTPL CMO GCAT 2019-NQM3 TR 0.,2.69,11/25/1959,"331,903.81","331,896.19","339,790.64",,,
PVTPL CMO GS MTG SECS TR 2012-,3.75,11/10/2045,"435,000.00","429,103.71","446,207.64",,,
PVTPL CMO NEW RESIDENTIAL MTG,2.71,11/25/1959,"421,463.89","421,463.89","426,386.80",,,
PVTPL CMO STARWOOD MTG RESIDEN,2.61,9/27/2049,"306,564.57","306,560.31","310,377.83",,,
PVTPL CMO VERUS SECURITIZATION,1.05,6/25/1966,"730,000.00","729,994.45","729,965.25",,,
PVTPL CMO VERUS SECURITIZATION,2.64,11/25/1959,"230,681.66","230,681.60","234,538.29",,,
STARWOOD MTG RESIDENTIAL TR 20,1.13,6/25/1956,"580,000.00","579,990.60","579,990.60",,,
UBS COML MTG TR 2017-C2 COML M,3.49,8/15/1950,"405,000.00","402,800.98","444,932.76",,,
WELLS FARGO COML MTG TR 2012-L,4.14,10/15/2045,"410,000.00","414,312.50","424,066.57",,,
WFRBS COML MTG TR 2014-C22 MTG,4.07,9/15/1957,"390,000.00","415,883.20","421,747.33",,,
Corporate Bonds,,,,,,,,
ABBVIE INC 2.6%,2.60,11/21/2024,"1,065,000.00","1,135,158.13","1,122,986.03",Biopharmaceutical,0,NYSE: ABBV
ABBVIE INC 2.95%,2.95,11/21/2026,"495,000.00","545,836.80","532,098.45",Biopharmaceutical,0,NYSE: ABBV
AMAZON COM INC 2.1% DUE 05-12-,2.10,5/12/2031,"785,000.00","784,858.70","798,198.84",Cloud ComputingE-commerceArtificial IntelligenceConsumer electronicsEntertainmentDigital DistributionSelf-driving carsSupermarket,0,Nasdaq: AMZN
AMERICAN EXPRESS CO 3.7% DUE,3.70,11/5/2021,"340,000.00","339,925.20","343,102.31","Banking
Financial services",0,NYSE: AXP
ANHEUSER-BUSCH INBEV WORLDWIDE,4.75,1/23/2029,"505,000.00","503,409.25","601,588.65",BeveragesBeverage packaging,0,-1
APPLE INC 1.65% DUE,1.65,2/8/2031,"770,000.00","769,784.40","757,915.05",Computer hardwareComputer softwareConsumer electronicsCloud computingDigital distributionFabless silicon designSemiconductorsMediaRetailFinancial technologyArtificial intelligence,0,Nasdaq: AAPL
APPLE INC 3.2% DUE 05-11-2027/,3.20,5/11/2027,"345,000.00","345,000.00","381,097.67",Computer hardwareComputer softwareConsumer electronicsCloud computingDigital distributionFabless silicon designSemiconductorsMediaRetailFinancial technologyArtificial intelligence,0,Nasdaq: AAPL
AT&T INC 2.25% DUE 02-01-2032,2.25,2/1/2032,"360,000.00","359,348.40","353,325.54",TelecommunicationsTechnologyMass mediaEntertainment,0,NYSE: T
U.S. Agency Bonds,,,,,,,,
FANNIE MAE 01/05/2051 2.5% 05-,2.50,5/1/1951,"722,687.04","748,884.45","748,174.61",,,
FANNIE MAE 2.0% 02-01-2051,2.00,2/1/1951,"271,029.00","280,006.84","273,885.30",,,
FANNIE MAE 2.0% 02-01-2051,2.00,2/1/1951,"272,767.91","282,357.40","275,764.56",,,
FANNIE MAE 3.0% 01/03/2050 3.0,3.00,3/1/1950,"190,627.45","201,022.61","199,793.18",,,
FANNIE MAE 3.0% 01/05/2050 3.0,3.00,5/1/1950,"201,353.31","212,427.74","210,275.46",,,
FANNIE MAE 3.0% 01/08/2050 3.0,3.00,8/1/1950,"259,535.42","274,499.26","271,089.39",,,
FANNIE MAE FN BR7795 2.5% 04-0,2.50,4/1/1951,"498,196.08","516,722.75","515,953.43",,,
FED HOME LN MTG CORP DUE Q1689,3.50,4/1/2043,"247,136.65","246,982.19","267,933.59",,,
FEDERAL FARM CREDIT 3.0% 11-01,3.00,11/1/2048,"506,741.87","533,583.36","532,166.08",,,
FEDERAL HOME LN BKS CONS 0.9%,0.90,2/26/2027,"3,250,000.00","3,250,000.00","3,219,756.77",,,
FEDERAL HOME LN MTG CORP 2.5%,2.50,2/1/1951,"342,839.97","352,321.64","354,931.18",,,
FEDERAL HOME LN MTG CORP 3.0%,3.00,3/1/1950,"412,799.38","435,463.82","433,240.88",,,
FEDERAL HOME LN MTG CORP GOLD,4.00,11/1/2041,"14,019.79","15,119.45","15,349.56",,,
FEDERAL HOME LN MTG CORP POOL,4.50,6/1/2034,"1,329.86","1,270.42","1,446.58",,,
FEDERAL HOME LN MTG CORP POOL,5.00,11/1/2035,"6,954.09","6,760.68","7,841.50",,,
FEDERAL HOME LN MTG CORP POOL,5.00,8/1/2035,"3,072.73","3,319.49","3,521.26",,,
FEDERAL HOME LN MTG CORP POOL,5.00,1/1/2038,"12,943.93","13,899.54","14,832.88",,,
FEDERAL HOME LN MTG CORP POOL,5.00,6/1/2039,"8,631.48","9,529.70","9,893.12",,,
FEDERAL HOME LN MTG CORP POOL,4.50,10/1/2039,"10,540.20","10,671.95","11,639.75",,,
FEDERAL HOME LN MTG CORP POOL,4.50,3/1/2040,"8,428.68","8,360.21","9,308.14",,,
FEDERAL HOME LN MTG CORP POOL,4.50,12/1/2039,"6,380.19","6,913.28","7,094.84",,,
FEDERAL HOME LN MTG CORP POOL,4.50,4/1/2040,"4,225.04","4,266.63","4,698.57",,,
FEDERAL HOME LN MTG CORP POOL,4.50,8/1/2040,"2,251.91","2,394.76","2,513.07",,,
FEDERAL HOME LN MTG CORP POOL,4.00,1/1/2041,"294,751.90","310,548.77","324,178.02",,,
FEDERAL HOME LN MTG CORP POOL,4.00,1/1/2041,"43,571.44","46,424.01","47,934.61",,,
FEDERAL HOME LN MTG CORP POOL,4.50,3/1/2041,"21,071.06","22,285.94","23,430.93",,,
FEDERAL HOME LN MTG CORP POOL,4.50,6/1/2040,"8,557.78","9,023.12","9,517.33",,,
FEDERAL HOME LN MTG CORP POOL,3.50,4/1/2042,"414,922.13","414,533.12","449,856.61",,,
FEDERAL HOME LN MTG CORP POOL,3.50,10/1/2042,"180,774.11","186,734.00","194,885.22",,,
FEDERAL HOME LN MTG CORP POOL,4.00,5/1/2047,"73,582.15","77,594.69","79,025.29",,,
FEDERAL HOME LN MTG CORP POOL,4.00,6/1/2047,"95,738.27","100,992.66","102,770.73",,,
FEDERAL HOME LN MTG CORP POOL,4.50,8/1/2035,"3,179.79","3,410.31","3,502.31",,,
FEDERAL HOME LN MTG CORP POOL,5.00,6/1/2036,"9,936.46","9,431.09","11,379.33",,,
FEDERAL HOME LN MTG CORP POOL,5.00,5/1/2037,"6,262.14","6,740.61","7,176.74",,,
FEDERAL HOME LN MTG CORP POOL,5.00,7/1/2037,"7,472.58","7,002.04","8,559.33",,,
FEDERAL HOME LN MTG CORP POOL,5.00,3/1/2038,"9,219.51","9,912.42","10,534.43",,,
FEDERAL HOME LN MTG CORP POOL,5.00,3/1/2038,"14,389.33","15,473.01","16,479.27",,,
FEDERAL HOME LN MTG CORP POOL,5.00,3/1/2038,"10,084.48","10,859.76","11,557.14",,,
FEDERAL HOME LN MTG CORP POOL,5.00,3/1/2038,"5,841.41","6,115.67","6,688.44",,,
FEDERAL HOME LN MTG CORP POOL,5.00,12/1/2038,"8,304.99","8,929.20","9,511.23",,,
FEDERAL HOME LN MTG CORP POOL,4.50,6/1/2038,"25,085.12","26,605.91","27,645.16",,,
FEDERAL HOME LN MTG CORP POOL,4.50,8/1/2041,"83,500.73","90,520.00","92,144.31",,,
FEDERAL HOME LN MTG CORP POOL,4.00,6/1/2041,"7,267.66","7,556.09","7,994.89",,,
FEDERAL HOME LN MTG CORP POOL,4.00,7/1/2042,"50,567.82","51,942.64","55,618.33",,,
FEDERAL HOME LN MTG CORP POOL,3.50,3/1/2045,"99,461.47","102,849.38","106,775.36",,,
FEDERAL HOME LN MTG CORP POOL,3.00,7/1/2043,"59,130.75","56,922.59","62,896.32",,,
FEDERAL HOME LN MTG CORP POOL,3.00,8/1/2043,"164,098.83","158,932.82","174,540.70",,,
FEDERAL HOME LN MTG CORP POOL,3.00,9/1/2043,"180,567.74","173,749.94","192,048.53",,,
FEDERAL HOME LN MTG CORP POOL,4.00,11/1/2043,"19,155.45","19,933.65","20,875.51",,,
FEDERAL HOME LN MTG CORP POOL,3.00,1/1/2045,"134,242.78","134,211.33","141,445.75",,,
FEDERAL HOME LN MTG CORP POOL,4.00,7/1/2045,"31,401.13","33,486.36","34,216.12",,,
FEDERAL HOME LN MTG CORP POOL,3.50,3/1/2046,"68,932.97","68,071.32","73,718.87",,,
FEDERAL HOME LN MTG CORP POOL,4.00,3/1/2046,"31,394.04","33,610.88","33,966.32",,,
FEDERAL HOME LN MTG CORP POOL,3.50,4/1/2046,"111,000.20","108,363.94","118,608.29",,,
FEDERAL HOME LN MTG CORP POOL,4.50,5/1/2046,"12,621.68","13,621.55","13,773.42",,,
FEDERAL HOME LN MTG CORP POOL,4.50,9/1/2046,"37,051.32","39,587.02","40,380.18",,,
FEDERAL HOME LN MTG CORP POOL,3.50,4/1/2047,"58,236.91","58,437.09","61,697.71",,,
FEDERAL HOME LN MTG CORP POOL,3.50,8/1/2047,"66,002.94","67,745.84","69,853.49",,,
FEDERAL HOME LN MTG CORP POOL,4.00,10/1/2047,"281,496.76","290,918.33","301,823.47",,,
FEDERAL HOME LN MTG CORP POOL,4.00,11/1/2047,"247,535.17","254,961.22","265,561.42",,,
FEDERAL HOME LN MTG CORP POOL,4.50,6/1/2048,"58,765.56","61,005.99","63,442.39",,,
FEDERAL HOME LN MTG CORP POOL,3.00,10/1/2046,"153,010.49","153,799.46","163,279.17",,,
FEDERAL HOME LN MTG CORP POOL,3.50,8/1/2044,"232,614.38","240,138.02","251,367.33",,,
FEDERAL HOME LN MTG CORP POOL,4.00,8/1/2047,"143,974.56","146,606.60","155,047.73",,,
FEDERAL HOME LN MTG CORP POOL,3.50,11/1/2046,"206,048.56","201,154.92","219,935.65",,,
FEDERAL HOME LN MTG CORP POOL,4.00,11/1/2047,"257,024.46","260,659.53","274,855.67",,,
FEDERAL HOME LN MTG CORP POOL,3.50,11/1/2047,"244,659.38","238,714.93","260,446.22",,,
FEDERAL HOME LN MTG CORP POOL,4.50,7/1/2041,"6,349.29","6,732.23","7,061.80",,,
FEDERAL HOME LN MTG CORP POOL,4.00,2/1/2042,"44,440.51","46,648.66","48,650.89",,,
FEDERAL HOME LN MTG CORP POOL,3.50,8/1/2043,"94,819.19","93,204.29","103,428.20",,,
FEDERAL HOME LN MTG CORP POOL,4.00,9/1/2043,"36,995.28","38,272.76","40,444.32",,,
FEDERAL HOME LN MTG CORP POOL,4.00,9/1/2043,"43,082.41","45,229.80","46,932.51",,,
FEDERAL HOME LN MTG CORP POOL,3.50,8/1/2047,"124,543.64","123,745.78","132,056.02",,,
FEDERAL HOME LN MTG CORP POOL,3.50,8/1/2047,"48,315.26","50,391.30","51,132.25",,,
FEDERAL HOME LN MTG CORP POOL,4.00,2/1/2048,"112,024.69","115,052.87","120,437.00",,,
FEDERAL HOME LN MTG CORP POOL,5.88,9/15/2043,"763,843.02","146,479.62","134,408.46",,,
FEDERAL HOME LN MTG CORP POOL,3.00,5/1/1951,"394,382.40","413,485.30","412,262.97",,,
FEDERAL HOME LN MTG CORP POOL,4.50,6/1/1950,"110,991.12","120,477.40","119,700.84",,,
FEDERAL HOME LN MTG CORP POOL,3.50,7/1/1950,"205,296.92","217,133.58","216,191.81",,,
FEDERAL HOME LN MTG CORP POOL,2.00,2/1/1951,"463,515.98","478,109.51","468,325.38",,,
FEDERAL HOME LN MTG CORP POOL,2.50,1/1/1951,"293,419.58","307,311.16","303,767.84",,,
FEDERAL HOME LN MTG CORP POOL,2.50,3/1/1951,"345,267.45","354,330.73","357,573.02",,,
FEDERAL HOME LN MTG CORP POOL,2.50,4/1/1951,"619,857.05","639,469.71","641,718.04",,,
FEDERAL HOME LN MTG CORP POOL,2.50,7/1/1951,"350,000.00","362,386.72","362,343.73",,,
FEDERAL HOME LN MTG CORP POOL,4.00,1/1/2048,"145,753.92","157,824.17","156,101.18",,,
FEDERAL HOME LN MTG CORP Q1745,3.50,4/1/2043,"119,746.28","124,423.86","129,455.44",,,
FEDERAL HOME LN MTG CORP Q3386,4.00,6/1/2045,"41,145.50","43,639.92","45,050.19",,,
FEDERAL HOME LN MTG CORP SR 00,5.96,10/25/2049,"785,917.74","168,856.40","188,499.86",,,
FEDERAL HOME LN MTG CORP V8199,4.00,10/1/2045,"109,409.82","115,230.78","118,856.80",,,
FEDERAL HOME LN MTG CORP#SD-81,2.00,7/1/1951,"400,000.00","404,640.63","404,146.69",,,
FEDERAL HOME LOAN BANKS 2.5% 0,2.50,9/1/1950,"343,168.35","360,165.91","355,271.14",,,
FEDERAL HOME LOAN MORTGAGE COR,2.00,5/1/1951,"299,080.06","301,615.23","302,180.48",,,
FEDERAL NATIONAL MORTGAGE ASSO,2.00,5/1/1951,"496,369.95","500,422.35","501,515.53",,,
FEDERAL NATIONAL MORTGAGE ASSO,3.00,2/1/1950,"342,173.86","360,512.24","358,851.18",,,
FEDERAL NATL MTG ASSN GTD MTG,4.00,12/1/2040,"82,849.52","86,629.53","91,104.42",,,
FEDERAL NATL MTG ASSN GTD MTG,4.50,2/1/2041,"7,863.60","8,318.20","8,676.10",,,
FEDERAL NATL MTG ASSN GTD MTG,4.50,3/1/2041,"10,235.01","10,831.51","11,296.95",,,
FEDERAL NATL MTG ASSN GTD MTG,4.50,2/1/2041,"5,543.12","5,837.60","6,118.14",,,
FEDERAL NATL MTG ASSN GTD MTG,4.00,3/1/2041,"201,699.57","212,540.93","220,428.16",,,
FEDERAL NATL MTG ASSN GTD MTG,4.50,4/1/2041,"6,773.64","7,251.48","7,558.90",,,
FEDERAL NATL MTG ASSN GTD MTG,4.50,6/1/2041,"6,589.42","7,030.09","7,350.28",,,
FEDERAL NATL MTG ASSN GTD MTG,4.50,9/1/2041,"2,906.15","3,074.06","3,230.86",,,
FEDERAL NATL MTG ASSN GTD MTG,4.50,11/1/2041,"9,427.95","10,119.56","10,529.27",,,
FEDERAL NATL MTG ASSN GTD MTG,3.50,12/1/2041,"373,068.05","373,476.10","407,275.55",,,
FEDERAL NATL MTG ASSN GTD MTG,4.00,12/1/2041,"93,308.64","96,355.76","102,615.37",,,
FEDERAL NATL MTG ASSN GTD MTG,4.00,2/1/2041,"77,451.01","81,081.53","84,953.42",,,
FEDERAL NATL MTG ASSN GTD MTG,4.50,11/1/2041,"52,560.05","56,116.06","58,592.42",,,
FEDERAL NATL MTG ASSN GTD MTG,4.00,12/1/2041,"95,126.32","98,307.10","105,878.61",,,
FEDERAL NATL MTG ASSN GTD MTG,3.50,1/1/2044,"71,406.75","73,024.55","78,445.20",,,
FEDERAL NATL MTG ASSN GTD MTG,4.00,2/1/2045,"293,821.18","299,543.19","322,711.14",,,
FEDERAL NATL MTG ASSN GTD MTG,4.00,6/1/2045,"76,974.43","81,532.77","84,087.82",,,
FHLMC G60919 4.5%  09-01-2046,4.50,9/1/2046,"48,978.55","52,330.53","53,423.27",,,
FHLMC GOLD G02667 5.0 01-01-20,5.00,1/1/2037,"11,766.89","12,708.25","13,475.14",,,
FHLMC GOLD G08178 5.0 02-01-20,5.00,2/1/2037,"1,162.50","1,198.80","1,332.04",,,
FHLMC GOLD G08372 4.5 11-01-20,4.50,11/1/2039,"21,148.15","22,549.22","23,354.58",,,
FHLMC GOLD G08721 3.0 09-01-20,3.00,9/1/2046,"18,456.63","18,488.34","19,436.12",,,
FHLMC GOLD POOL# G67710 3.5%,3.50,3/1/2048,"259,915.59","255,732.59","280,430.68",,,
FHLMC GOLD POOL#V83204 4.5% 05,4.50,5/1/2047,"33,963.24","36,404.35","36,695.99",,,
FHLMC GOLD Q00232 4.5 04-01-20,4.50,4/1/2041,"9,599.86","10,285.34","10,599.23",,,
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,,,
FHLMC GOLD Q02583 4.5 08-01-20,4.50,8/1/2041,"3,332.11","3,509.65","3,599.37",,,
FHLMC GOLD Q05926 4.0% 02-01-2,4.00,2/1/2042,"74,911.71","78,657.30","82,392.96",,,
FHLMC GOLD Q30470 4.0,4.00,12/1/2044,"14,112.93","15,061.15","15,374.55",,,
FHLMC GOLD Q35614 3.5 08-01-20,3.50,8/1/2045,"85,679.93","88,585.02","92,401.79",,,
FHLMC GOLD Q38470 4.0 01-01-20,4.00,1/1/2046,"19,003.98","20,280.82","20,577.40",,,
FHLMC GOLD Q39438 4.0 03-01-20,4.00,3/1/2046,"216,432.87","220,964.45","234,560.03",,,
FHLMC GOLD Q39644 3.5 03-01-20,3.50,3/1/2046,"142,125.37","138,638.86","151,563.01",,,
FHLMC GOLD Q40097 4.5 04-01-20,4.50,4/1/2046,"62,686.97","66,039.27","67,719.01",,,
FHLMC GOLD Q40375 3.5 05-01-20,3.50,5/1/2046,"53,499.16","54,151.19","57,211.25",,,
FHLMC GOLD Q40553 4.0% 05-01-2,4.00,5/1/2046,"99,493.00","105,058.40","107,900.49",,,
FHLMC GOLD Q45458 4.0 08-01-20,4.00,8/1/2046,"100,010.63","105,558.10","108,213.44",,,
FHLMC GOLD Q46283 4.0% DUE,4.00,2/1/2047,"94,263.51","95,677.47","101,234.95",,,
FHLMC GOLD Q47623 4.0% DUE,4.00,4/1/2047,"105,026.49","107,438.82","112,767.56",,,
FHLMC GOLD Q49394 4.5% 07-01-2,4.50,7/1/2047,"80,565.11","83,787.72","87,440.74",,,
FHLMC GOLD V80509 4.0 10-01-20,4.00,10/1/2043,"154,015.06","163,713.21","168,373.46",,,
FHLMC GOLD V81873 4.0 08-01-20,4.00,8/1/2045,"7,204.22","7,695.01","7,824.36",,,
FHLMC MULTICLASS SER 004572 CL,5.98,4/15/2046,"1,146,243.01","218,831.51","239,680.22",,,
FHLMC MULTICLASS SER 4031 CL P,4.00,3/15/2042,"739,050.72","129,014.89","89,562.23",,,
FHLMC MULTICLASS SER 4385 CL I,4.50,9/15/2044,"523,060.39","116,407.21","84,698.38",,,
FHLMC PC GOLD Q49100 4.0% 07-0,4.00,7/1/2047,"95,483.33","100,376.85","102,264.25",,,
FHLMC POOL #QA7325 3.0% 02-01-,3.00,2/1/1950,"213,736.23","219,513.80","224,077.26",,,
FHLMC POOL #QB1146 3.0%,3.00,7/1/1950,"312,546.80","330,127.57","326,577.70",,,
FHLMC POOL #QB2682 2.5% DUE 08,2.50,8/1/1950,"305,532.68","322,193.77","316,308.14",,,
FHLMC POOL #QB4785 2.5% 10-01-,2.50,10/1/1950,"457,226.06","477,944.12","473,473.25",,,
FHLMC POOL #QB9401 2.0% DUE,2.00,3/1/1951,"402,466.83","407,246.14","406,708.44",,,
FHLMC POOL #ZA7141 3.0%,3.00,6/1/2049,"41,862.75","42,771.96","43,677.59",,,
FHLMC POOL G0-8768 4.5%,4.50,6/1/2047,"171,760.25","183,213.16","186,485.75",,,
FHLMC Q49888 3.5% DUE 08-01-20,3.50,8/1/2047,"168,866.78","169,236.19","178,737.02",,,
FHLMC V83421 4.0%,4.00,9/1/2047,"221,139.01","231,539.47","236,646.85",,,
FNMA #B02200 3.5% 09-01-2049,3.50,9/1/2049,"168,967.96","174,776.25","177,857.83",,,
FNMA .6%,0.60,7/29/2025,"2,650,000.00","2,651,060.00","2,610,476.92",,,
FNMA 3% MBS 01/04/2047 USD'CA5,3.00,4/1/2047,"222,414.62","235,446.74","231,850.70",,,
FNMA 3.0% DUE 05-01-2050 BEO,3.00,5/1/1950,"204,102.74","215,895.54","213,233.87",,,
FNMA 4.5% 10-01-2047,4.50,10/1/2047,"81,547.95","89,218.56","88,316.73",,,
FNMA FLTG RT SER 16-95 CL US,5.91,12/25/2046,"696,561.54","123,857.71","160,597.28",,,
FNMA POOL #735925 5.0% DUE 10-,5.00,10/1/2035,"109,700.65","119,385.16","125,594.41",,,
FNMA POOL #888405 5.0% DUE 12-,5.00,12/1/2036,"8,970.28","9,389.36","10,270.77",,,
FNMA POOL #AA8487 4.5% DUE 07-,4.50,7/1/2039,"12,342.47","12,343.44","13,763.98",,,
FNMA POOL #AB1389 4.5% DUE 08-,4.50,8/1/2040,"150,657.77","162,992.89","167,719.25",,,
FNMA POOL #AB3419 4.5% DUE 08-,4.50,8/1/2041,"12,082.48","12,816.89","13,333.77",,,
FNMA POOL #AB5937 3.5% DUE 08-,3.50,8/1/2042,"317,408.48","317,309.27","343,028.52",,,
FNMA POOL #AB7965 3.5% DUE 02-,3.50,2/1/2043,"112,030.55","110,787.72","120,699.82",,,
FNMA POOL #AB9358 3.5% DUE 05-,3.50,5/1/2043,"265,927.89","274,196.59","286,481.25",,,
FNMA POOL #AB9965 4.0% DUE 07-,4.00,7/1/2043,"18,578.93","19,322.07","20,430.29",,,
FNMA POOL #AC6795 4.5% DUE 12-,4.50,12/1/2039,"9,700.27","9,733.62","10,703.80",,,
FNMA POOL #AD7859 5.0% DUE 06-,5.00,6/1/2040,"5,548.69","5,981.30","6,315.91",,,
FNMA POOL #AD8950 5.0% DUE 07-,5.00,7/1/2040,"1,281.45","1,356.53","1,418.65",,,
FNMA POOL #AE0313 4.5% DUE 09-,4.50,9/1/2040,"42,881.11","45,259.65","46,743.09",,,
FNMA POOL #AE4476 4.0% DUE 03-,4.00,3/1/2041,"123,308.89","129,936.75","134,922.78",,,
FNMA POOL #AE5745 5.0% DUE 02-,5.00,2/1/2034,"11,237.84","11,898.04","12,311.15",,,
FNMA POOL #AE8259 5.0% DUE 11-,5.00,11/1/2040,"41,254.98","45,535.18","47,240.75",,,
FNMA POOL #AL8341 4.5% DUE 11-,4.50,11/1/2045,"46,366.38","50,680.65","50,922.78",,,
FNMA POOL #AO1214 3.5% DUE 04-,3.50,4/1/2042,"11,484.78","11,922.64","12,373.38",,,
FNMA POOL #AP3647 3.5% DUE 09-,3.50,9/1/2042,"320,772.74","330,847.03","347,645.76",,,
FNMA POOL #AS1540 3.5% DUE 01-,3.50,1/1/2044,"25,612.33","26,394.68","27,805.82",,,
FNMA POOL #AS3470 4.0% DUE 10-,4.00,10/1/2044,"79,954.56","83,777.39","87,051.22",,,
FNMA POOL #AS4797 3.5% DUE 04-,3.50,4/1/2045,"22,656.98","23,734.95","24,398.97",,,
FNMA POOL #AS5662 4.0% DUE 08-,4.00,8/1/2045,"12,916.67","13,843.55","14,016.55",,,
FNMA POOL #AS5823 3.5% DUE 09-,3.50,9/1/2045,"167,357.92","169,057.64","179,507.94",,,
FNMA POOL #AS6400 4.0% DUE 12-,4.00,12/1/2045,"64,610.26","68,789.74","69,793.90",,,
FNMA POOL #AS6532 4.5% DUE 01-,4.50,1/1/2046,"67,908.35","70,582.25","74,494.88",,,
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,,,
FNMA POOL #AS6795 4.0% DUE 03-,4.00,3/1/2046,"84,583.64","86,063.85","91,038.89",,,
FNMA POOL #AS7388 3.5% DUE 06-,3.50,6/1/2046,"219,758.97","224,085.47","234,705.16",,,
FNMA POOL #AS7492 4.0% DUE 07-,4.00,7/1/2046,"52,246.54","53,177.17","56,347.96",,,
FNMA POOL #AS7580 3.0% DUE 07-,3.00,7/1/2046,"200,308.73","206,349.29","210,919.97",,,
FNMA POOL #AS7648 4.0% DUE 08-,4.00,8/1/2046,"91,940.50","93,233.41","98,999.95",,,
FNMA POOL #AS8056 3.0% DUE 10-,3.00,10/1/2046,"99,723.81","105,520.26","104,945.94",,,
FNMA POOL #AS8141 4.0% DUE 10-,4.00,10/1/2046,"164,470.37","172,205.61","177,009.88",,,
FNMA POOL #AS8144 4.0% DUE 10-,4.00,10/1/2046,"97,178.24","102,781.19","104,756.65",,,
FNMA POOL #AS8269 3.0% DUE 11-,3.00,11/1/2046,"129,489.00","137,136.94","135,929.80",,,
FNMA POOL #AS8528 3.5% DUE 12-,3.50,12/1/2046,"167,416.22","162,524.55","177,756.10",,,
FNMA POOL #AS8659 4.0% DUE 01-,4.00,1/1/2047,"38,566.02","40,822.74","41,426.54",,,
FNMA POOL #AS8661 4.0% DUE 01-,4.00,1/1/2047,"144,136.06","146,365.67","155,096.81",,,
FNMA POOL #AS9394 4.5% DUE 04-,4.50,4/1/2047,"332,676.15","355,599.61","361,491.70",,,
